title,image_url,rating,types,page,detail_url
萤火之森 - 蛍火の杜へ,https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@464w_644h_1e_1c,8.8,剧情爱情动画奇幻,5,https://ssr1.scrape.center/detail/41
素媛 - 소원,https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@464w_644h_1e_1c,8.8,剧情,5,https://ssr1.scrape.center/detail/42
小鞋子 - بچههای آسمان,https://p1.meituan.net/movie/135c612860fae899df2220149664d97a173555.jpg@464w_644h_1e_1c,8.8,剧情家庭,5,https://ssr1.scrape.center/detail/43
熔炉 - 도가니,https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@464w_644h_1e_1c,8.8,剧情,5,https://ssr1.scrape.center/detail/44
大话西游之大圣娶亲 - A Chinese Odyssey Part Two - Cinderella,https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@464w_644h_1e_1c,8.9,喜剧爱情奇幻,5,https://ssr1.scrape.center/detail/45
新龙门客栈 - New Dragon Gate Inn,https://p1.meituan.net/movie/7833126c8c21a11571bb52fbdece0acb811449.jpg@464w_644h_1e_1c,8.9,动作爱情武侠古装,5,https://ssr1.scrape.center/detail/46
触不可及 - Intouchables,https://p1.meituan.net/movie/1e700e53e4fe29dd5942381bb353c8532239179.jpg@464w_644h_1e_1c,8.9,剧情喜剧,5,https://ssr1.scrape.center/detail/47
钢琴家 - The Pianist,https://p0.meituan.net/movie/bcbe59fc51580317adf94537a61a1a26142090.jpg@464w_644h_1e_1c,8.9,剧情音乐传记历史战争,5,https://ssr1.scrape.center/detail/48
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@464w_644h_1e_1c,8.9,剧情爱情奇幻,5,https://ssr1.scrape.center/detail/49
倩女幽魂 - A Chinese Ghost Story,https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@464w_644h_1e_1c,8.9,爱情奇幻武侠古装,5,https://ssr1.scrape.center/detail/50
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c,8.9,剧情悬疑奇幻冒险,6,https://ssr1.scrape.center/detail/51
甜蜜蜜 - Comrades: Almost a Love Story,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@464w_644h_1e_1c,8.9,剧情爱情,6,https://ssr1.scrape.center/detail/52
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c,8.9,剧情动作科幻惊悚犯罪,6,https://ssr1.scrape.center/detail/53
鬼子来了 - Devils on the Doorstep,https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@464w_644h_1e_1c,8.8,剧情战争,6,https://ssr1.scrape.center/detail/54
无敌破坏王 - Wreck-It Ralph,https://p1.meituan.net/movie/70a574550c4bb928dcc6a40641294785150838.jpg@464w_644h_1e_1c,8.8,喜剧动画奇幻冒险,6,https://ssr1.scrape.center/detail/55
致命魔术 - The Prestige,https://p0.meituan.net/movie/83df1c541e6e0696e67ce7da81cb1e1a251258.jpg@464w_644h_1e_1c,8.8,剧情悬疑惊悚,6,https://ssr1.scrape.center/detail/56
神偷奶爸 - Despicable Me,https://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@464w_644h_1e_1c,8.8,喜剧动画冒险,6,https://ssr1.scrape.center/detail/57
断背山 - Brokeback Mountain,https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@464w_644h_1e_1c,8.8,剧情爱情家庭,6,https://ssr1.scrape.center/detail/58
怦然心动 - Flipped,https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@464w_644h_1e_1c,8.8,剧情喜剧爱情,6,https://ssr1.scrape.center/detail/59
驯龙高手 - How to Train Your Dragon,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@464w_644h_1e_1c,8.8,喜剧动画奇幻冒险,6,https://ssr1.scrape.center/detail/60
飞屋环游记 - Up,https://p0.meituan.net/movie/f9356a376358f1576da3263d998eca7a94624.jpg@464w_644h_1e_1c,8.8,剧情喜剧动画冒险,7,https://ssr1.scrape.center/detail/61
黑客帝国3：矩阵革命 - The Matrix Revolutions,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@464w_644h_1e_1c,8.8,动作科幻,7,https://ssr1.scrape.center/detail/62
速度与激情5 - Fast Five,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@464w_644h_1e_1c,8.9,动作犯罪,7,https://ssr1.scrape.center/detail/63
勇敢的心 - Braveheart,https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@464w_644h_1e_1c,8.9,剧情动作传记历史战争,7,https://ssr1.scrape.center/detail/64
三傻大闹宝莱坞 - 3 Idiots,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@464w_644h_1e_1c,8.9,剧情喜剧爱情歌舞,7,https://ssr1.scrape.center/detail/65
闻香识女人 - Scent of a Woman,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@464w_644h_1e_1c,8.9,剧情,7,https://ssr1.scrape.center/detail/66
末代皇帝 - The Last Emperor,https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@464w_644h_1e_1c,8.9,剧情传记历史,7,https://ssr1.scrape.center/detail/67
风之谷 - 風の谷のナウシカ,https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@464w_644h_1e_1c,8.9,动画奇幻冒险,7,https://ssr1.scrape.center/detail/68
大话西游之月光宝盒 - A Chinese Odyssey,https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@464w_644h_1e_1c,8.9,喜剧爱情奇幻古装,7,https://ssr1.scrape.center/detail/69
放牛班的春天 - Les choristes,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@464w_644h_1e_1c,8.9,剧情音乐,7,https://ssr1.scrape.center/detail/70
当幸福来敲门 - The Pursuit of Happyness,https://p1.meituan.net/movie/7d1d85610651dbe1c8687781a87d1008184950.jpg@464w_644h_1e_1c,8.9,剧情家庭传记,8,https://ssr1.scrape.center/detail/71
幽灵公主 - もののけ姫,https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg@464w_644h_1e_1c,8.9,动画奇幻冒险,8,https://ssr1.scrape.center/detail/72
十二怒汉 - 12 Angry Men,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@464w_644h_1e_1c,8.9,剧情,8,https://ssr1.scrape.center/detail/73
搏击俱乐部 - Fight Club,https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@464w_644h_1e_1c,8.9,剧情动作悬疑惊悚,8,https://ssr1.scrape.center/detail/74
疯狂原始人 - The Croods,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,8.9,喜剧动画冒险,8,https://ssr1.scrape.center/detail/75
阿凡达 - Avatar,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c,8.9,动作科幻冒险,8,https://ssr1.scrape.center/detail/76
哈尔的移动城堡 - ハウルの動く城,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c,8.9,动画奇幻冒险,8,https://ssr1.scrape.center/detail/77
盗梦空间 - Inception,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c,8.9,剧情科幻悬疑冒险,8,https://ssr1.scrape.center/detail/78
忠犬八公的故事 - Hachi: A Dog's Tale,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,8.9,剧情,8,https://ssr1.scrape.center/detail/79
拯救大兵瑞恩 - Saving Private Ryan,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c,8.9,剧情历史战争,8,https://ssr1.scrape.center/detail/80
活着 - To Live,https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c,9.0,剧情家庭历史,9,https://ssr1.scrape.center/detail/81
机器人总动员 - WALL·E,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@464w_644h_1e_1c,9.0,喜剧科幻动画,9,https://ssr1.scrape.center/detail/82
天堂电影院 - Nuovo Cinema Paradiso,https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@464w_644h_1e_1c,9.0,剧情爱情,9,https://ssr1.scrape.center/detail/83
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@464w_644h_1e_1c,9.0,剧情动作奇幻冒险,9,https://ssr1.scrape.center/detail/84
